"titre_film";"note_presse"
"Aladin et la lampe merveilleuse";"4,0"
"Paris vu par...";"4,0"
"Le diable au corps";"4,0"
"Fric-frac";"4,0"
"Les Anges du péché";"4,0"
"Fedora";"4,0"
"Boccace 70";"4,0"
"Le Territoire des autres";"4,0"
"L'enfant lion";"4,0"
"La Question";"4,0"
"Julie est amoureuse";"4,0"
"Sombre";"4,0"
"J'irai cracher sur vos tombes";"4,0"
"Dogville";"4,0"
"Laissez-passer";"4,0"
"Le Pornographe";"4,0"
"L'Eclipse";"4,0"
"Embrassez qui vous voudrez";"4,0"
"Le Blues entre les dents";"4,0"
"Vendredi soir";"4,0"
"Une femme de ménage";"4,0"
"L'Enfant qui voulait être un ours";"4,0"
"Le Cheval de fer";"4,0"
"1974, une partie de campagne";"4,0"
"Les Honneurs de la guerre";"4,0"
"Les Jours où je n'existe pas";"4,0"
"All Or Nothing";"4,0"
"Le Cheval de vent";"4,0"
"Après la vie";"4,0"
"Long way home";"4,0"
"Dans Ma Peau";"4,0"
"Elle est des nôtres";"4,0"
"Fellini - je suis un grand menteur";"4,0"
"Triple Agent";"4,0"
"5x2";"4,0"
"Inland";"4,0"
"Les Sucriers de Colleville";"4,0"
"Chemins de traverse";"4,0"
"Les Contes de l'horloge magique";"4,0"
"La Femme est l'avenir de l'homme";"4,0"
"Demi-tarif";"4,0"
"Les temps qui changent";"4,0"
"Moolaade";"4,0"
"La Porte du soleil";"4,0"
"Papa";"4,0"
"Haïti : la fin des chimères ?";"4,0"
"Vera Drake";"4,0"
"La Marche de l'Empereur";"4,0"
"Marie-Antoinette";"4,0"
"Mon petit doigt m'a dit";"4,0"
"Alex";"4,0"
"Rocco et ses frères";"4,0"
"Juliette des esprits";"4,0"
"The Queen";"4,0"
"Changement d'adresse";"4,0"
"Ne touchez pas la hache";"4,0"
"Les Amours d'Astrée et de Céladon";"4,0"
"Le dernier des fous";"4,0"
"Bamako";"4,0"
"Daratt";"4,0"
"Mesrine : L'Instinct de mort";"4,0"
"Nuremberg, les nazis face à leurs crimes";"4,0"
"A côté";"4,0"
"Nous, les vivants";"4,0"
"L'avocat de la terreur";"4,0"
"Eldorado";"4,0"
"Le Bal des actrices";"4,0"
"Panique au village";"4,0"
"Rumba";"4,0"
"Comme une étoile dans la nuit";"4,0"
"Copacabana";"4,0"
"Lucifer et Moi";"4,0"
"L'Arnacoeur";"4,0"
"L'Important c'est de rester vivant";"4,0"
"La Taupe";"4,0"
"Habemus Papam";"4,0"
"L'Exercice de l'Etat";"4,0"
"Les Insomniaques";"4,0"
"Marguerite et le dragon";"4,0"
"L'Étrange affaire Angélica";"4,0"
"Vous n'avez encore rien vu";"4,0"
"Pina";"4,0"
"Free Radicals";"4,0"
"""""Le Voyage extraordinaire"""" suivi de """"Le Voyage dans la lune""""";"4,0"
"Rengaine";"4,0"
"Foxfire, confessions d'un gang de filles";"4,0"
"Paddington";"4,0"
"Saint Laurent";"4,0"
"Elle s'en va";"4,0"
"Le Dernier des injustes";"4,0"
"Avec nos yeux";"4,0"
"Article 23";"4,0"
"Paroles de conflits";"4,0"
"Deux jours, une nuit";"4,0"
"Goal of the dead - Première mi-temps";"4,0"
"Goal of the dead - Seconde mi-temps";"4,0"
"Le procès de Viviane Amsalem";"4,0"
"Mange tes morts - Tu ne diras point";"4,0"
"Microbe et Gasoil";"4,0"
"Comme Un Avion";"4,0"
"La vie des gens";"4,0"
"Marguerite";"4,0"
"Poesía Sin Fin";"4,0"
"Sangre de mi sangre";"4,0"
"Pauline s'arrache";"4,0"
"Victoria";"4,0"
"Algérie du possible";"4,0"
"Voyages";"4,1"
"La Vierge des tueurs";"4,1"
"Ça commence aujourd'hui";"4,1"
"Vénus beauté (institut)";"4,1"
"Khroustaliov, ma voiture!";"4,1"
"Lila Lili";"4,1"
"Ghost Dog: la voie du samourai";"4,1"
"Princes et princesses";"4,1"
"Djomeh, l'histoire du garçon qui tombait amoureux";"4,1"
"Ma petite entreprise";"4,1"
"Merci pour le chocolat";"4,1"
"Le Pianiste";"4,1"
"De l'histoire ancienne";"4,1"
"Intimité";"4,1"
"Roberto Succo";"4,1"
"Profils paysans, chapitre 1 : l'approche";"4,1"
"La Dernière Lettre";"4,1"
"Rêve d'usine";"4,1"
"La Vie est un miracle";"4,1"
"Immortel (ad vitam)";"4,1"
"Le grand voyage";"4,1"
"Caché";"4,1"
"Un Couple épatant";"4,1"
"Kedma";"4,1"
"Ten";"4,1"
"La Fleur du Mal";"4,1"
"Tiresia";"4,1"
"Dix-sept ans";"4,1"
"Le chien, le général et les oiseaux";"4,1"
"L'île de Black Mór";"4,1"
"Les Clefs de la maison";"4,1"
"Des hommes et des dieux";"4,1"
"Salvador Allende";"4,1"
"Shizo";"4,1"
"Les Yeux clairs";"4,1"
"Le temps qui reste";"4,1"
"Kirikou et les bêtes sauvages";"4,1"
"Quand J'étais Chanteur";"4,1"
"Nuit noire, 17 octobre 1961";"4,1"
"Coeurs";"4,1"
"Mia et le Migou";"4,1"
"Les Climats";"4,1"
"OSS 117 : Rio ne répond plus";"4,1"
"Paranoid Park";"4,1"
"Julia";"4,1"
"Ceux qui restent";"4,1"
"Dans la brume électrique";"4,1"
"L'apprenti";"4,1"
"Espion(s)";"4,1"
"Les Bureaux de Dieu";"4,1"
"Le Ruban blanc";"4,1"
"Les herbes folles";"4,1"
"À l'origine";"4,1"
"Le Temps qu'il reste";"4,1"
"L'Enfer d'Henri-Georges Clouzot";"4,1"
"Melancholia";"4,1"
"Les Neiges du Kilimandjaro";"4,1"
"Louise Wimmer";"4,1"
"L'Impossible - Pages arrachées";"4,1"
"The Artist";"4,1"
"La Grotte des rêves perdus";"4,1"
"Camille Redouble";"4,1"
"Le Tableau";"4,1"
"Tous au Larzac";"4,1"
